CODICEIDENTIFICATIVOSITO;LATITUDINE
2371;37,3911879
2372;43,5502486
2373;40,34847816
2374;40,34847816
2377;44,5437536
2378;44,32824095
2379;41,70659
2380;45,42153544
2381;45,34670066
2382;45,3597882
2383;45,04467501
2384;41,70782017
2385;45,0709468
2386;39,6243877
2387;46,1735947
2388;46,0324815
2389;45,807918
2390;45,77818722
2391;45,421687
2392;44,918472
2392;44,918472
2393;45,12375453
2394;45,0564737
2395;45,0787054
2396;45,619906
2397;45,39912124
2398;39,288387
2399;37,57444225
2399;37,57444225
2400;37,0714069
2401;44,8871442
2402;45,5206995
2404;43,15621146
2404;43,15621146
2405;44,46747135
2405;44,46747135
2406;44,3093365
2408;44,11084793
2408;44,11084793
2409;40,47490031
2410;45,2842181
2411;45,426735
2412;45,3497197
2413;45,07787852
2415;42,45711309
2416;39,4059248
2420;39,40290322
2421;44,70839302
2422;39,2607164
2422;39,2607164
2423;40,82623791
2427;40,6708399
2428;39,50725955
2429;40,6708399
2430;44,0760829
2431;37,674462
2432;40,77075019
2433;41,6396009
2433;41,6396009
2434;45,6927235
2435;45,35348555
2436;46,27875983
2438;42,36507254
2440;45,00155731
2441;42,8557157
2442;45,22068343
2443;39,9099093
2443;39,9099093
2444;45,0709201
2445;40,2114545
2446;43,69854742
2448;38,1536456
2449;40,832547
2450;37,51576832
2451;45,78055663
2452;45,82578654
2453;45,00829679
2454;37,3067932
2455;44,7038006
2455;44,7038006
2456;45,1588749
2456;45,1588749
2457;40,62790732
2458;42,9004262
2458;42,9004262
2459;44,1747369
2460;45,1564168
2460;45,1564168
2461;45,9573399
2461;45,9573399
2462;45,8938509
2463;44,8243592
2463;44,8243592
2464;45,17152243
2465;38,93980705
2466;38,14024675
2466;38,14024675
2467;40,84343138
2469;39,17825386
2470;39,0822338
2472;37,528824
2473;37,54354442
2474;41,31582888
2475;40,967593
2476;45,3588213
2476;45,3588213
2477;45,14702447
2477;45,14702447
2478;45,14702447
2479;45,5198352
2480;41,7252936
2481;44,6426782
2481;44,6426782
2483;40,35532132
2484;45,0709201
2485;40,8242756
2486;40,747894
2487;45,715998
2488;39,27128001
2490;40,649288
2491;45,6648964
2493;42,1003467
2493;42,1003467
2494;42,3498479
2494;42,3498479
2495;44,29940244
2496;40,95648
2497;45,694077
2498;45,66279774
2499;45,54196
2499;45,54196
2500;37,44220831
2502;46,12298322
2503;37,379144
2504;44,8972042
2505;41,90638451
2506;43,3472881
2506;43,3472881
2507;46,14863
2508;45,8725986
2509;45,42458005
2509;45,42458005
2510;40,09933964
2511;39,40290322
2512;39,22460493
2513;39,81287613
2515;45,56123488
2516;41,07614497
2517;44,10732192
2519;44,8720906
2520;40,2055563
2521;44,7715375
2522;41,009635
2523;44,32271107
2524;45,0473754
2525;45,60629027
2526;39,3099931
2527;45,6347098
2528;38,28388753
2529;43,6920292
2530;40,6708399
2531;40,84309404
2532;40,78490741
2533;40,78490741
2534;45,44418711
2535;46,4553328
2536;43,522542
2536;43,522542
2536;43,522542
2537;42,36988009
2538;45,09640207
2539;45,527181
2540;40,93213321
2541;40,93025982
2542;45,4447173
2542;45,4447173
2542;45,4447173
2543;37,78882688
2544;45,40882465
2544;45,40882465
2545;43,44595216
2546;43,77041
2547;40,9403298
2548;44,95634682
2549;45,3186526
2550;45,1860043
2551;45,1860043
2551;45,1860043
2551;45,1860043
2552;40,84309404
2553;44,99435609
2554;44,85780243
2555;40,56226999
2556;44,062227
2556;44,062227
2557;41,46634711
2558;40,2529254
2559;43,77041
2560;41,1006464
2561;40,7085503
2562;40,8343384
2563;39,7675501
2563;39,7675501
2564;44,83428045
2565;41,22133626
2566;42,0937959
2567;41,44420812
2568;44,95538358
2569;45,43655913
2570;38,13022074
2571;41,1901129
2572;37,6806251
2573;39,5413458
2574;39,677217
2575;39,26561335
2576;45,5835206
2577;38,9389095
2578;39,308093
2579;45,238067
2580;45,4129692
2581;40,68665648
2582;41,1422989
2583;40,7258458
2584;39,45071573
2585;44,098909
2586;39,33019037
2587;37,96384984
2588;36,83694198
2590;45,4129692
2591;43,5503585
2593;45,44131754
2594;43,8761975
2594;43,8761975
2596;43,66474
2598;43,9357733
2599;45,6152175
2600;41,93305315
2601;43,84384482
2602;45,42583701
2603;39,5849829
2604;41,1171432
2605;41,11061077
2606;45,77236296
2607;45,4408474
2607;45,4408474
2609;44,4808997
2610;39,62881589
2612;44,8013504
2613;44,25303977
2613;44,25303977
2614;45,5552278
2615;45,5552278
2616;40,2616439
2617;41,90161055
2617;41,90161055
2617;41,90161055
2619;37,7238698
2620;37,31044113
2621;37,2893888
2622;45,13875879
2623;37,4998585
2623;37,4998585
2624;37,4984967
2625;41,47407834
2626;44,38889612
2626;44,38889612
2627;45,3968478
2628;44,4238833
2628;44,4238833
2628;44,4238833
2629;38,30994999
2630;40,18377122
2640;41,87120892
2641;43,8002361
2641;43,8002361
2642;42,94905595
2643;45,4094009
2644;44,57257036
2645;44,5804945
2647;38,18838652
2648;45,0739412
2649;39,92839121
2650;37,5782757
2650;37,5782757
2650;37,5782757
2650;37,5782757
2652;41,07898334
2653;43,10070493
2654;45,17430648
2654;45,17430648
2656;45,706354
2656;45,706354
2656;45,706354
2657;45,3165933
2657;45,3165933
2658;39,0806529
2659;44,04089498
2659;44,04089498
2659;44,04089498
2660;45,5556194
2661;45,77791182
2662;45,35675856
2663;39,308789
2664;45,41445516
2665;45,41445516
2666;45,41445516
2667;45,68654943
2668;43,2750634
2669;40,644317
2670;39,80267296
2671;45,12511129
2672;40,74980503
2674;45,6653963
2676;40,7237973
2677;45,252839
2678;44,70839302
2679;45,45735025
2679;45,45735025
2680;38,08415308
